time,xi_x,xi_y,step_x,step_y
0.008000,0.013360,0.012523,0.013252,0.013144
0.034000,0.011081,0.013442,0.011279,0.013889
0.058000,0.013022,0.018017,0.012191,0.017498
0.082000,0.016759,0.022688,0.015061,0.021923
0.108000,0.020471,0.027442,0.018972,0.027279
0.132000,0.025816,0.032608,0.024364,0.033090
0.158000,0.032775,0.036764,0.032268,0.038807
0.182000,0.039606,0.038666,0.040327,0.042806
0.208000,0.046427,0.042022,0.049350,0.047589
0.232000,0.050136,0.047866,0.055960,0.053872
0.258000,0.003098,-0.078643,0.011019,-0.070536
0.282000,0.001509,-0.083470,0.012945,-0.071190
0.308000,-0.000251,-0.095173,0.013126,-0.079785
0.332000,-0.001351,-0.112439,0.013316,-0.093713
0.358000,0.001746,-0.132554,0.016080,-0.114774
0.382000,0.006783,-0.156775,0.020565,-0.140062
0.408000,0.013233,-0.184263,0.027022,-0.172728
0.432000,0.020254,-0.209694,0.034089,-0.204589
0.458000,-0.014543,0.068054,0.001942,0.057882
0.482000,-0.023743,0.082935,-0.003794,0.057780
0.508000,-0.033521,0.094916,-0.012124,0.061820
0.532000,-0.039225,0.104326,-0.018430,0.066123
0.558000,-0.042672,0.115648,-0.024266,0.075990
0.582000,-0.045318,0.128598,-0.029399,0.088144
0.608000,-0.047501,0.146321,-0.034149,0.108054
0.632000,-0.002075,0.045424,0.009180,0.009941
0.658000,-0.011647,0.059250,-0.002294,0.031621
0.682000,-0.017845,0.067917,-0.010799,0.049623
0.706000,-0.021702,0.075855,-0.017960,0.065913
0.732000,-0.024678,0.087441,-0.024437,0.084692
0.758000,-0.026319,0.101661,-0.029419,0.105382
0.782000,-0.027160,0.116958,-0.033257,0.126185
0.808000,-0.025888,0.134774,-0.034661,0.150374
0.832000,-0.021968,0.144910,-0.033626,0.168835
0.858000,-0.018832,0.151080,-0.031407,0.183778
0.882000,0.024092,0.019088,0.012137,0.058223
0.908000,0.020741,0.024416,0.009411,0.070296
0.932000,0.023287,0.029723,0.010894,0.081298
0.958000,0.025444,0.037858,0.013287,0.092505
0.982000,0.026123,0.050794,0.014840,0.106898
1.008000,0.026919,0.065912,0.017075,0.123334
1.034000,0.029362,0.079128,0.020807,0.139054
1.058000,0.032752,0.085194,0.025512,0.149165
1.082000,0.037591,0.092690,0.031440,0.157846
1.108000,0.043766,0.098111,0.038861,0.163984
1.132000,0.052637,0.103813,0.048117,0.169590
1.158000,0.015735,-0.128980,0.014691,-0.061878
1.182000,0.018033,-0.127976,0.019519,-0.058371
1.208000,0.017629,-0.134590,0.022489,-0.064378
1.232000,0.016328,-0.151821,0.023835,-0.079268
1.258000,0.019877,-0.182867,0.028154,-0.110747
1.282000,0.029516,-0.218645,0.037042,-0.147858
1.308000,0.040778,-0.260295,0.048951,-0.197527
1.332000,0.053993,-0.306828,0.063167,-0.252443
1.358000,0.001080,-0.013028,0.015249,0.019186
1.382000,-0.011420,0.023582,0.008615,0.025965
1.408000,-0.019210,0.025518,0.004803,0.012831
1.432000,-0.026073,0.027105,0.000158,0.002999
1.458000,-0.030100,0.026738,-0.004680,-0.004616
1.482000,-0.031752,0.025979,-0.008155,-0.010838
1.508000,-0.032123,0.026065,-0.010724,-0.014367
1.532000,-0.033067,0.029801,-0.013329,-0.014157
1.556000,-0.034241,0.036343,-0.016068,-0.009366
1.582000,-0.022222,0.076643,-0.005818,0.031717
1.608000,-0.026350,0.084146,-0.012841,0.043329
1.632000,-0.038427,0.085291,-0.024747,0.050078
1.656000,-0.036771,0.096012,-0.029330,0.062902
1.682000,-0.041971,0.110725,-0.037157,0.081184
1.708000,-0.045545,0.129893,-0.043932,0.104475
1.734000,-0.047006,0.151883,-0.048716,0.131820
1.758000,-0.051635,0.179719,-0.055241,0.163849
1.782000,0.008837,0.094292,0.003293,0.089283
1.808000,0.009603,0.092549,0.000675,0.100286
1.834000,0.014658,0.103763,0.002083,0.121078
1.858000,0.018331,0.119718,0.003489,0.144175
1.882000,0.018107,0.141802,0.003648,0.171446
1.908000,0.016334,0.172054,0.003100,0.207409
1.934000,0.016586,0.199315,0.004216,0.242411
1.958000,0.017249,0.223346,0.005989,0.275468
1.982000,0.017737,0.244433,0.007801,0.305119
2.008000,0.022483,0.263569,0.012369,0.332419
2.032000,0.032891,0.287679,0.021432,0.361468
2.058000,0.040889,-0.112326,0.030815,-0.033239
2.084000,0.034820,-0.100263,0.029678,-0.006151
2.108000,0.032857,-0.087756,0.030897,0.014023
2.132000,0.026931,-0.087150,0.028470,0.024417
2.158000,0.026222,-0.103894,0.028523,0.015262
2.182000,0.033197,-0.133571,0.034308,-0.006741
2.208000,0.051547,-0.176974,0.051146,-0.049672
2.234000,0.077961,-0.229248,0.077206,-0.106524
2.258000,0.043205,-0.136099,0.044255,-0.024987
2.282000,0.014123,-0.121726,0.030670,-0.037179
2.308000,0.006487,-0.134069,0.028652,-0.066833
2.334000,0.000151,-0.145535,0.025295,-0.095064
2.358000,-0.001066,-0.163105,0.024471,-0.126214
2.382000,0.001473,-0.185719,0.025973,-0.160534
2.408000,0.005127,-0.213538,0.028659,-0.200660
2.432000,-0.003118,-0.134334,0.020478,-0.133329
2.458000,0.025439,-0.133188,0.047594,-0.142039
2.482000,0.050588,-0.154169,0.067502,-0.176435
2.508000,0.053820,-0.168310,0.074502,-0.206102
2.534000,0.048562,-0.191999,0.073729,-0.242252
2.558000,0.044391,-0.207247,0.072744,-0.271411
2.582000,0.040481,-0.210633,0.070524,-0.289378
2.608000,0.059085,-0.240703,0.084823,-0.324022
2.634000,0.078946,-0.279240,0.103369,-0.367020
2.658000,-0.025529,0.124052,0.002046,0.024677
2.682000,-0.017189,0.162262,0.014044,0.037188
2.708000,-0.051870,0.219022,-0.013559,0.092220
2.732000,-0.179180,0.134192,-0.153195,0.061247
2.758000,-0.113758,0.439946,-0.066030,0.336995
2.782000,0.188833,0.388790,0.197493,0.307600
2.808000,-0.354354,0.147987,-0.200000,0.050952
2.832000,-0.164728,0.373883,-0.139123,0.299996
2.858000,-0.068203,0.608954,-0.062925,0.570649
2.882000,0.007477,0.425686,0.018559,0.358664
2.908000,0.231115,0.411990,0.247079,0.352833
2.932000,0.120505,-0.033375,0.136251,-0.077932
2.958000,0.086188,0.019078,0.085086,-0.027423
2.982000,0.033039,-0.016379,0.031381,-0.060137
3.008000,-0.178514,0.024939,-0.172805,0.001806
3.032000,-0.181485,0.033555,-0.173078,0.018890
3.058000,-0.178589,0.032229,-0.169227,0.023334
3.082000,0.222401,0.080265,0.236470,0.076273
3.108000,0.291314,0.052842,0.300000,0.052421
3.132000,0.381912,-0.033544,0.300000,-0.038783
3.158000,0.434026,-0.071661,0.300000,-0.082739
3.182000,-0.085970,0.055208,-0.039075,0.043043
3.208000,-0.022806,-0.050713,0.024817,-0.071732
