time,torso_height,desired_height
0.010000,0.478082,0.450000
0.012000,0.477405,0.450000
0.014000,0.476761,0.450000
0.016000,0.476553,0.450000
0.018000,0.476069,0.450000
0.020000,0.475209,0.450000
0.022000,0.474620,0.450000
0.024000,0.474406,0.450000
0.026000,0.473344,0.450000
0.028000,0.472658,0.450000
0.030000,0.471940,0.450000
0.032000,0.471737,0.450000
0.034000,0.470993,0.450000
0.036000,0.470219,0.450000
0.038000,0.468766,0.450000
0.040000,0.467896,0.450000
0.042000,0.466995,0.450000
0.044000,0.466812,0.450000
0.046000,0.465099,0.450000
0.048000,0.464105,0.450000
0.050000,0.463079,0.450000
0.052000,0.462022,0.450000
0.054000,0.461995,0.450000
0.056000,0.461995,0.450000
0.058000,0.460461,0.450000
0.060000,0.459058,0.450000
0.062000,0.459248,0.450000
0.064000,0.458047,0.450000
0.066000,0.457626,0.450000
0.068000,0.457869,0.450000
0.070000,0.456923,0.450000
0.072000,0.456631,0.450000
0.074000,0.456875,0.450000
0.076000,0.456144,0.450000
0.078000,0.455938,0.450000
0.080000,0.455753,0.450000
0.082000,0.455585,0.450000
0.084000,0.455429,0.450000
0.086000,0.455284,0.450000
0.088000,0.455440,0.450000
0.090000,0.455290,0.450000
0.092000,0.454891,0.450000
0.094000,0.455001,0.450000
0.096000,0.454635,0.450000
0.098000,0.454511,0.450000
0.100000,0.454386,0.450000
0.102000,0.454261,0.450000
0.104000,0.454136,0.450000
0.106000,0.454012,0.450000
0.108000,0.453889,0.450000
0.110000,0.453926,0.450000
0.112000,0.453651,0.450000
0.114000,0.453536,0.450000
0.116000,0.453425,0.450000
0.118000,0.453425,0.450000
0.120000,0.453335,0.450000
0.122000,0.453122,0.450000
0.124000,0.453132,0.450000
0.126000,0.452946,0.450000
0.128000,0.452866,0.450000
0.130000,0.452867,0.450000
0.132000,0.452790,0.450000
0.134000,0.452718,0.450000
0.136000,0.452649,0.450000
0.138000,0.452534,0.450000
0.140000,0.452497,0.450000
0.142000,0.452424,0.450000
0.144000,0.452410,0.450000
0.146000,0.452359,0.450000
0.148000,0.452312,0.450000
0.150000,0.452268,0.450000
0.152000,0.452210,0.450000
0.154000,0.452178,0.450000
0.156000,0.452161,0.450000
0.158000,0.452127,0.450000
0.160000,0.452109,0.450000
0.162000,0.452091,0.450000
0.164000,0.452080,0.450000
0.166000,0.452063,0.450000
0.168000,0.452072,0.450000
0.170000,0.452056,0.450000
0.172000,0.452060,0.450000
0.174000,0.452068,0.450000
0.176000,0.452081,0.450000
0.178000,0.452134,0.450000
0.180000,0.452119,0.450000
0.182000,0.452189,0.450000
0.184000,0.452221,0.450000
0.186000,0.452256,0.450000
0.188000,0.452294,0.450000
0.190000,0.452336,0.450000
0.192000,0.452381,0.450000
0.194000,0.452430,0.450000
0.196000,0.452416,0.450000
0.198000,0.452538,0.450000
0.200000,0.452598,0.450000
0.202000,0.452662,0.450000
0.204000,0.452649,0.450000
0.206000,0.452799,0.450000
0.208000,0.452785,0.450000
0.210000,0.452947,0.450000
0.212000,0.453025,0.450000
0.214000,0.453107,0.450000
0.216000,0.453192,0.450000
0.218000,0.453279,0.450000
0.220000,0.453370,0.450000
0.222000,0.453465,0.450000
0.224000,0.453562,0.450000
0.226000,0.453662,0.450000
0.228000,0.453764,0.450000
0.230000,0.453870,0.450000
0.232000,0.453977,0.450000
0.234000,0.453964,0.450000
0.236000,0.454197,0.450000
0.238000,0.454310,0.450000
0.240000,0.454424,0.450000
0.242000,0.454540,0.450000
0.244000,0.454658,0.450000
0.246000,0.454645,0.450000
0.248000,0.454766,0.450000
0.250000,0.454903,0.450000
0.252000,0.455155,0.450000
0.254000,0.455285,0.450000
0.256000,0.455416,0.450000
0.258000,0.455547,0.450000
0.262000,0.455678,0.450000
0.262000,0.455810,0.450000
0.264000,0.455942,0.450000
0.266000,0.455926,0.450000
0.268000,0.455926,0.450000
0.270000,0.456346,0.450000
0.272000,0.456483,0.450000
0.274000,0.456623,0.450000
0.276000,0.456608,0.450000
0.278000,0.456749,0.450000
0.280000,0.457047,0.450000
0.282000,0.457031,0.450000
0.286000,0.457166,0.450000
