time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.008000,1,0.149978,0.610089,1.171433,-0.251417,-0.602538,1.205969
0.012000,1,0.149978,0.610089,1.171433,-0.251417,-0.602538,1.205969
0.014000,1,0.149910,0.616881,1.185994,-0.252453,-0.604385,1.210464
0.016000,1,0.149858,0.620576,1.193964,-0.253045,-0.605435,1.213065
0.018000,1,0.149793,0.624405,1.202263,-0.253681,-0.606560,1.215881
0.020000,1,0.149714,0.628327,1.210808,-0.254356,-0.607751,1.218897
0.022000,1,0.149622,0.632310,1.219533,-0.255069,-0.609004,1.222105
0.026000,1,0.149397,0.640354,1.237320,-0.256597,-0.611677,1.229059
0.028000,1,0.149397,0.640354,1.237320,-0.256597,-0.611677,1.229059
0.028000,1,0.149264,0.644376,1.246302,-0.257409,-0.613091,1.232793
0.030000,1,0.149118,0.648380,1.255306,-0.258252,-0.614553,1.236692
0.032000,1,0.148958,0.652354,1.264310,-0.259124,-0.616062,1.240751
0.036000,1,0.148601,0.660191,1.282278,-0.260956,-0.619213,1.249344
0.038000,1,0.148601,0.660191,1.282278,-0.260956,-0.619213,1.249344
0.038000,1,0.148403,0.664046,1.291224,-0.261915,-0.620856,1.253877
0.040000,1,0.148192,0.667855,1.300140,-0.262903,-0.622542,1.258565
0.044000,1,0.148009,0.675285,1.318101,-0.264694,-0.625807,1.267706
0.044000,1,0.148009,0.675285,1.318101,-0.264694,-0.625807,1.267706
0.048000,1,0.148313,0.678836,1.327290,-0.265227,-0.627175,1.271510
0.048000,1,0.148838,0.682282,1.336419,-0.265540,-0.628399,1.274867
0.050000,1,0.149597,0.685624,1.345613,-0.265649,-0.629504,1.277838
0.054000,1,0.151698,0.692076,1.364072,-0.265370,-0.631449,1.282836
0.056000,1,0.151698,0.692076,1.364072,-0.265370,-0.631449,1.282836
0.056000,1,0.152984,0.695236,1.373364,-0.265049,-0.632331,1.284954
0.058000,1,0.154344,0.698415,1.382588,-0.264674,-0.633183,1.286878
0.062000,1,0.157311,0.704856,1.401252,-0.263807,-0.634830,1.290239
0.064000,1,0.158897,0.708135,1.410755,-0.263348,-0.635638,1.291720
0.066000,1,0.158897,0.708135,1.410755,-0.263348,-0.635638,1.291720
0.066000,1,0.160516,0.711458,1.420239,-0.262886,-0.636443,1.293101
0.068000,1,0.162158,0.714826,1.429671,-0.262428,-0.637251,1.294396
0.072000,1,0.165556,0.721698,1.448743,-0.261534,-0.638868,1.296754
0.074000,1,0.165556,0.721698,1.448743,-0.261534,-0.638868,1.296754
0.074000,1,0.167313,0.725189,1.458427,-0.261107,-0.639674,1.297834
0.076000,1,0.169075,0.728707,1.468008,-0.260691,-0.640479,1.298865
0.078000,1,0.170858,0.732253,1.477582,-0.260288,-0.641281,1.299842
0.082000,1,0.174441,0.739381,1.496411,-0.259520,-0.642864,1.301677
0.082000,1,0.174441,0.739381,1.496411,-0.259520,-0.642864,1.301677
0.084000,1,0.176235,0.742957,1.505624,-0.259151,-0.643642,1.302531
0.086000,1,0.178022,0.746523,1.514666,-0.258793,-0.644403,1.303349
0.090000,1,0.181567,0.753583,1.532183,-0.258103,-0.645860,1.304874
0.090000,1,0.181567,0.753583,1.532183,-0.258103,-0.645860,1.304874
0.092000,1,0.183324,0.757071,1.540656,-0.257769,-0.646549,1.305573
0.094000,1,0.185052,0.760514,1.548842,-0.257442,-0.647208,1.306232
0.096000,1,0.186763,0.763912,1.556818,-0.257121,-0.647833,1.306845
0.098000,1,0.188460,0.767268,1.564596,-0.256805,-0.648422,1.307406
0.102000,1,0.190138,0.770558,1.572166,-0.256495,-0.648969,1.307917
0.102000,1,0.191791,0.773773,1.579507,-0.256190,-0.649471,1.308379
0.104000,1,0.193415,0.776907,1.586588,-0.255889,-0.649927,1.308790
0.106000,1,0.194992,0.779942,1.593319,-0.255591,-0.650331,1.309150
0.108000,1,0.196524,0.782881,1.599722,-0.255296,-0.650685,1.309454
0.110000,1,0.198003,0.785708,1.605761,-0.255004,-0.650985,1.309702
0.112000,1,0.199427,0.788418,1.611442,-0.254715,-0.651230,1.309891
0.114000,1,0.200798,0.791015,1.616788,-0.254429,-0.651421,1.310020
0.118000,1,0.202117,0.793492,1.621810,-0.254146,-0.651556,1.310086
0.118000,1,0.203380,0.795836,1.626510,-0.253870,-0.651635,1.310088
0.120000,1,0.204588,0.798049,1.630908,-0.253598,-0.651656,1.310024
0.122000,1,0.205741,0.800124,1.635005,-0.253332,-0.651619,1.309891
0.124000,1,0.206834,0.802059,1.638795,-0.253072,-0.651526,1.309689
0.128000,1,0.207864,0.803849,1.642265,-0.252818,-0.651376,1.309417
0.128000,1,0.208818,0.805483,1.645350,-0.252569,-0.651173,1.309074
0.130000,1,0.209701,0.806965,1.648075,-0.252325,-0.650917,1.308659
0.132000,1,0.210508,0.808292,1.650431,-0.252085,-0.650609,1.308171
0.136000,1,0.211246,0.809473,1.652471,-0.251854,-0.650255,1.307612
0.138000,1,0.211908,0.810489,1.654176,-0.251630,-0.649854,1.306983
0.138000,1,0.212499,0.811341,1.655567,-0.251414,-0.649408,1.306281
0.140000,1,0.213020,0.812030,1.656660,-0.251205,-0.648917,1.305509
0.142000,1,0.213476,0.812567,1.657498,-0.251007,-0.648390,1.304668
0.144000,1,0.213854,0.812934,1.657998,-0.250815,-0.647827,1.303760
0.146000,1,0.214152,0.813123,1.658141,-0.250627,-0.647230,1.302785
0.148000,1,0.214373,0.813138,1.657948,-0.250443,-0.646598,1.301742
0.150000,1,0.214521,0.812972,1.657457,-0.250265,-0.645936,1.300635
0.152000,1,0.214596,0.812621,1.656686,-0.250093,-0.645245,1.299467
0.154000,1,0.214601,0.812088,1.655651,-0.249927,-0.644526,1.298235
0.156000,1,0.214534,0.811370,1.654328,-0.249766,-0.643780,1.296940
0.160000,1,0.214391,0.810468,1.652711,-0.249610,-0.643011,1.295586
0.160000,1,0.214168,0.809385,1.650767,-0.249457,-0.642225,1.294174
0.162000,1,0.213863,0.808122,1.648475,-0.249307,-0.641424,1.292708
0.164000,1,0.213477,0.806687,1.645824,-0.249157,-0.640620,1.291198
0.166000,1,0.213005,0.805070,1.642792,-0.249006,-0.639809,1.289641
0.168000,1,0.212454,0.803277,1.639413,-0.248856,-0.638996,1.288040
0.170000,1,0.211839,0.801295,1.635798,-0.248708,-0.638176,1.286396
0.172000,1,0.211178,0.799095,1.632113,-0.248566,-0.637342,1.284710
0.176000,1,0.210472,0.796674,1.628366,-0.248429,-0.636494,1.282983
0.176000,1,0.209702,0.794035,1.624442,-0.248293,-0.635637,1.281216
0.178000,1,0.208872,0.791181,1.620353,-0.248160,-0.634772,1.279408
0.180000,1,0.207961,0.788121,1.615968,-0.248025,-0.633903,1.277560
0.184000,1,0.206963,0.784865,1.611235,-0.247888,-0.633039,1.275679
0.186000,1,0.205854,0.781418,1.605993,-0.247743,-0.632190,1.273768
0.186000,1,0.204639,0.777785,1.600271,-0.247592,-0.631353,1.271828
0.188000,1,0.203321,0.773970,1.594077,-0.247434,-0.630534,1.269861
0.190000,1,0.201916,0.769975,1.587502,-0.247273,-0.629733,1.267870
0.192000,1,0.200448,0.765805,1.580692,-0.247110,-0.628955,1.265868
0.194000,1,0.198962,0.761411,1.574030,-0.246957,-0.628177,1.263846
0.196000,1,0.197457,0.756794,1.567503,-0.246812,-0.627396,1.261801
0.198000,1,0.195961,0.751918,1.561370,-0.246683,-0.626597,1.259731
0.202000,1,0.194437,0.746770,1.555446,-0.246562,-0.625779,1.257635
0.202000,1,0.192825,0.741383,1.549257,-0.246435,-0.624965,1.255521
0.204000,1,0.191126,0.735760,1.542819,-0.246306,-0.624153,1.253384
0.206000,1,0.189281,0.729948,1.535645,-0.246159,-0.623370,1.251235
0.208000,1,0.187265,0.723988,1.527467,-0.245989,-0.622638,1.249082
0.212000,1,0.185053,0.717930,1.518021,-0.245787,-0.621983,1.246941
0.214000,1,0.182686,0.711821,1.507419,-0.245557,-0.621426,1.244832
0.214000,1,0.180176,0.705664,1.495731,-0.245300,-0.620967,1.242754
0.216000,1,0.177584,0.699458,1.483316,-0.245025,-0.620600,1.240713
0.218000,1,0.174977,0.693199,1.470575,-0.244742,-0.620314,1.238715
0.220000,1,0.172723,0.686793,1.460464,-0.244533,-0.620018,1.236750
0.222000,1,0.170798,0.680234,1.452820,-0.244394,-0.619707,1.234811
0.224000,1,0.169077,0.673572,1.446600,-0.244285,-0.619416,1.232913
0.226000,1,0.169077,0.673572,1.446600,-0.244285,-0.619416,1.232913
0.228000,1,0.166036,0.660003,1.436675,-0.244101,-0.618952,1.229244
0.230000,1,0.164432,0.653259,1.430519,-0.243949,-0.618889,1.227509
0.234000,1,0.162598,0.646674,1.421991,-0.243704,-0.619021,1.225877
0.234000,1,0.160553,0.640259,1.411231,-0.243375,-0.619347,1.224349
0.238000,1,0.156162,0.627897,1.385393,-0.242530,-0.620518,1.221628
0.240000,1,0.156162,0.627897,1.385393,-0.242530,-0.620518,1.221628
0.240000,1,0.154119,0.621849,1.372693,-0.242083,-0.621266,1.220440
0.242000,1,0.152412,0.615794,1.361969,-0.241668,-0.622031,1.219367
0.242000,1,0.152412,0.615794,1.361969,-0.241668,-0.622031,1.219367
0.246000,1,0.149875,0.603591,1.345651,-0.240900,-0.623578,1.217530
0.248000,1,0.148995,0.597358,1.339859,-0.240538,-0.624318,1.216742
0.250000,1,0.148358,0.591028,1.335515,-0.240185,-0.625032,1.216035
0.254000,1,0.147656,0.584732,1.329960,-0.239763,-0.625822,1.215422
0.254000,1,0.146771,0.578551,1.322176,-0.239246,-0.626742,1.214915
0.256000,1,0.145720,0.572497,1.312295,-0.238639,-0.627792,1.214513
0.258000,1,0.144556,0.566567,1.300806,-0.237961,-0.628958,1.214216
0.260000,1,0.143400,0.560725,1.288776,-0.237250,-0.630193,1.214019
0.264000,1,0.142359,0.554934,1.277175,-0.236538,-0.631452,1.213916
0.264000,0,0.141548,0.549148,1.267022,-0.235857,-0.632679,1.213896
0.266000,0,0.141018,0.544489,1.258699,-0.235200,-0.633946,1.214001
0.268000,0,0.140717,0.540884,1.251987,-0.234555,-0.635248,1.214224
0.270000,0,0.140677,0.538081,1.246282,-0.233979,-0.636726,1.215034
0.272000,0,0.140866,0.535928,1.241439,-0.233498,-0.638348,1.216466
0.276000,0,0.141243,0.534304,1.237347,-0.233151,-0.640086,1.218562
0.276000,0,0.141774,0.533116,1.233910,-0.232949,-0.641920,1.221327
0.278000,0,0.142447,0.532278,1.231026,-0.232892,-0.643833,1.224753
0.280000,0,0.143239,0.531729,1.228621,-0.232985,-0.645813,1.228830
0.282000,0,0.144131,0.531420,1.226631,-0.233235,-0.647846,1.233538
0.286000,0,0.146231,0.531465,1.223722,-0.234263,-0.651554,1.245632
0.286000,0,0.146231,0.531465,1.223722,-0.234263,-0.651554,1.245632
0.288000,0,0.147512,0.531802,1.222726,-0.235083,-0.652764,1.253880
0.290000,0,0.148871,0.532373,1.221993,-0.236006,-0.653967,1.262198
0.292000,0,0.150308,0.533145,1.221492,-0.237061,-0.655103,1.270788
0.294000,0,0.151764,0.534147,1.221211,-0.238183,-0.656474,1.278675
0.296000,0,0.153185,0.535368,1.221154,-0.239349,-0.658184,1.285530
0.298000,0,0.154571,0.536791,1.221299,-0.240555,-0.660225,1.291392
0.300000,0,0.155913,0.538365,1.221647,-0.241862,-0.662427,1.296802
0.304000,0,0.157221,0.539971,1.222194,-0.243402,-0.664343,1.303200
0.304000,0,0.158496,0.541567,1.222925,-0.245207,-0.665869,1.310911
0.306000,0,0.159738,0.543147,1.223825,-0.247279,-0.667012,1.319890
0.308000,0,0.160929,0.544734,1.224869,-0.249543,-0.667985,1.329424
0.310000,0,0.162027,0.546416,1.226015,-0.251777,-0.669365,1.337609
0.314000,0,0.163029,0.548206,1.227242,-0.253912,-0.671280,1.344027
0.316000,0,0.163957,0.550039,1.228544,-0.256035,-0.673446,1.349603
0.316000,0,0.164839,0.551830,1.229914,-0.258268,-0.675496,1.355545
0.318000,0,0.165676,0.553579,1.231350,-0.260610,-0.677433,1.361843
0.320000,0,0.166483,0.555240,1.232842,-0.263118,-0.679081,1.369061
0.324000,0,0.167259,0.556821,1.234372,-0.265753,-0.680518,1.376923
0.324000,0,0.167996,0.558364,1.235905,-0.268382,-0.682024,1.384475
0.326000,0,0.168695,0.559872,1.237446,-0.271005,-0.683597,1.391730
0.328000,0,0.169354,0.561369,1.238974,-0.273548,-0.685377,1.398203
0.332000,0,0.169986,0.562826,1.240475,-0.276029,-0.687271,1.404185
0.334000,0,0.170603,0.564211,1.241946,-0.278504,-0.689127,1.410169
0.334000,0,0.171206,0.565524,1.243390,-0.280971,-0.690945,1.416159
0.336000,0,0.171805,0.566746,1.244796,-0.283460,-0.692644,1.422431
0.338000,0,0.172397,0.567882,1.246168,-0.285958,-0.694237,1.428921
0.342000,0,0.172397,0.567882,1.246168,-0.285958,-0.694237,1.428921
0.342000,0,0.173572,0.569899,1.248796,-0.290953,-0.697140,1.442390
0.344000,0,0.174151,0.570806,1.250037,-0.293386,-0.698567,1.448915
0.346000,0,0.174726,0.571653,1.251222,-0.295771,-0.699993,1.455246
0.348000,0,0.175295,0.572464,1.252343,-0.298033,-0.701533,1.460927
0.352000,0,0.176435,0.573930,1.254380,-0.302270,-0.704708,1.471071
0.352000,0,0.176435,0.573930,1.254380,-0.302270,-0.704708,1.471071
0.354000,0,0.177011,0.574570,1.255305,-0.304289,-0.706243,1.475874
0.358000,0,0.177595,0.575136,1.256170,-0.306261,-0.707682,1.480705
0.360000,0,0.178186,0.575629,1.256980,-0.308206,-0.709001,1.485629
0.362000,0,0.178784,0.576048,1.257736,-0.310129,-0.710188,1.490663
0.362000,0,0.179389,0.576396,1.258440,-0.312031,-0.711243,1.495802
0.364000,0,0.179996,0.576692,1.259091,-0.313877,-0.712230,1.500770
0.368000,0,0.181202,0.577192,1.260225,-0.317290,-0.714176,1.509415
0.368000,0,0.181202,0.577192,1.260225,-0.317290,-0.714176,1.509415
0.370000,0,0.181798,0.577415,1.260713,-0.318830,-0.715181,1.512887
0.372000,0,0.182391,0.577607,1.261152,-0.320292,-0.716130,1.516062
0.374000,0,0.182391,0.577607,1.261152,-0.320292,-0.716130,1.516062
0.374000,0,0.183571,0.577898,1.261902,-0.323027,-0.717803,1.521650
0.378000,0,0.184159,0.577988,1.262222,-0.324336,-0.718463,1.524284
0.382000,0,0.185325,0.578054,1.262765,-0.326896,-0.719312,1.529505
0.384000,0,0.185325,0.578054,1.262765,-0.326896,-0.719312,1.529505
0.384000,0,0.185898,0.578041,1.262992,-0.328142,-0.719501,1.532008
0.386000,0,0.186460,0.578021,1.263189,-0.329319,-0.719610,1.534146
0.388000,0,0.187011,0.577992,1.263359,-0.330435,-0.719626,1.535931
0.390000,0,0.187550,0.577965,1.263504,-0.331472,-0.719574,1.537259
0.392000,0,0.188074,0.577937,1.263628,-0.332445,-0.719426,1.538182
0.394000,0,0.188585,0.577911,1.263733,-0.333354,-0.719181,1.538716
0.398000,0,0.189083,0.577881,1.263821,-0.334218,-0.718805,1.538965
0.398000,0,0.189567,0.577841,1.263897,-0.335055,-0.718256,1.539044
0.400000,0,0.190039,0.577792,1.263961,-0.335866,-0.717534,1.538960
0.402000,0,0.190496,0.577736,1.264015,-0.336651,-0.716637,1.538703
0.406000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.406000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.408000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.412000,0,0.192154,0.577614,1.264144,-0.339177,-0.711789,1.533660
0.412000,0,0.192523,0.577611,1.264162,-0.339663,-0.710244,1.531468
0.414000,0,0.192875,0.577618,1.264176,-0.340095,-0.708557,1.528933
0.416000,0,0.193210,0.577632,1.264187,-0.340479,-0.706704,1.526116
0.420000,0,0.193827,0.577681,1.264209,-0.341109,-0.702484,1.519680
0.422000,0,0.194110,0.577716,1.264220,-0.341353,-0.700109,1.516080
0.422000,0,0.194110,0.577716,1.264220,-0.341353,-0.700109,1.516080
0.426000,0,0.194374,0.577765,1.264232,-0.341543,-0.697573,1.512222
0.426000,0,0.194619,0.577826,1.264245,-0.341671,-0.694884,1.508069
0.428000,0,0.194846,0.577903,1.264257,-0.341728,-0.692045,1.503574
0.430000,0,0.195055,0.577997,1.264268,-0.341707,-0.689064,1.498706
0.432000,0,0.195417,0.578241,1.264293,-0.341420,-0.682693,1.487838
0.436000,0,0.195417,0.578241,1.264293,-0.341420,-0.682693,1.487838
0.436000,0,0.195569,0.578390,1.264309,-0.341154,-0.679299,1.481875
0.438000,0,0.195703,0.578553,1.264327,-0.340824,-0.675746,1.475708
0.438000,0,0.195703,0.578553,1.264327,-0.340824,-0.675746,1.475708
0.440000,0,0.195908,0.578932,1.264385,-0.339936,-0.668196,1.462512
0.444000,0,0.195978,0.579154,1.264428,-0.339367,-0.664222,1.455431
0.448000,0,0.196025,0.579398,1.264480,-0.338714,-0.660123,1.448022
0.450000,0,0.196066,0.579633,1.264529,-0.337981,-0.655800,1.440669
0.450000,0,0.196099,0.579860,1.264572,-0.337169,-0.651252,1.433375
0.452000,0,0.196127,0.580073,1.264609,-0.336273,-0.646472,1.426183
0.454000,0,0.196144,0.580292,1.264641,-0.335259,-0.641535,1.418844
