time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.008000,3.140917,3.141168,-3.141532,3.141205,3.141353,-3.141562
0.010000,3.140535,3.140921,-3.141489,3.141205,3.141353,-3.141562
0.012000,3.140535,3.140921,-3.141489,3.141205,3.141353,-3.141562
0.012000,3.140535,3.140921,-3.141489,3.141205,3.141353,-3.141562
0.014000,3.138736,3.139756,-3.141313,3.141205,3.141353,-3.141562
0.018000,3.137892,3.139198,-3.141230,3.141205,3.141353,-3.141562
0.018000,3.136918,3.138544,-3.141134,3.141205,3.141353,-3.141562
0.022000,3.135817,3.137794,-3.141025,3.141205,3.141353,-3.141562
0.024000,3.134594,3.136949,-3.140904,3.141205,3.141353,-3.141562
0.026000,3.133257,3.136015,-3.140770,3.141205,3.141353,-3.141562
0.028000,3.131810,3.134995,-3.140623,3.141205,3.141353,-3.141562
0.032000,3.128606,3.132709,-3.140289,3.141205,3.141353,-3.141562
0.034000,3.128606,3.132709,-3.140289,3.141205,3.141353,-3.141562
0.034000,3.126855,3.131449,-3.140101,3.141205,3.141353,-3.141562
0.036000,3.125005,3.130112,-3.139896,3.141205,3.141353,-3.141562
0.040000,3.121148,3.127706,-3.139498,3.141205,3.141353,-3.141562
0.042000,3.119164,3.126665,-3.139312,3.141205,3.141353,-3.141562
0.042000,3.119164,3.126665,-3.139312,3.141205,3.141353,-3.141562
0.044000,3.117172,3.125729,-3.139137,3.141205,3.141353,-3.141562
0.048000,3.113196,3.124144,-3.138817,3.141205,3.141353,-3.141562
0.050000,3.111224,3.123488,-3.138672,3.141205,3.141353,-3.141562
0.050000,3.111224,3.123488,-3.138672,3.141205,3.141353,-3.141562
0.052000,3.109285,3.122904,-3.138536,3.141205,3.141353,-3.141562
0.056000,3.105534,3.121919,-3.138289,3.141205,3.141353,-3.141562
0.058000,3.103729,3.121507,-3.138177,3.141205,3.141353,-3.141562
0.060000,3.103729,3.121507,-3.138177,3.141205,3.141353,-3.141562
0.060000,3.101981,3.121135,-3.138072,3.141205,3.141353,-3.141562
0.062000,3.100295,3.120795,-3.137973,3.141205,3.141353,-3.141562
0.066000,3.098670,3.120485,-3.137880,3.141205,3.141353,-3.141562
0.068000,3.097111,3.120198,-3.137792,3.141205,3.141353,-3.141562
0.068000,3.095621,3.119930,-3.137709,3.141205,3.141353,-3.141562
0.070000,3.094203,3.119676,-3.137631,3.141205,3.141353,-3.141562
0.072000,3.092863,3.119433,-3.137555,3.141205,3.141353,-3.141562
0.076000,3.090419,3.118973,-3.137414,3.141205,3.141353,-3.141562
0.078000,3.089313,3.118754,-3.137348,3.141205,3.141353,-3.141562
0.078000,3.089313,3.118754,-3.137348,3.141205,3.141353,-3.141562
0.078000,3.089313,3.118754,-3.137348,3.141205,3.141353,-3.141562
0.080000,3.087335,3.118343,-3.137225,3.141205,3.141353,-3.141562
0.086000,3.085660,3.117970,-3.137114,3.141205,3.141353,-3.141562
0.086000,3.085660,3.117970,-3.137114,3.141205,3.141353,-3.141562
0.088000,3.084935,3.117799,-3.137063,3.141205,3.141353,-3.141562
0.092000,3.084281,3.117640,-3.137015,3.141205,3.141353,-3.141562
0.092000,3.083699,3.117492,-3.136970,3.141205,3.141353,-3.141562
0.094000,3.083185,3.117356,-3.136929,3.141205,3.141353,-3.141562
0.098000,3.082363,3.117119,-3.136858,3.141205,3.141353,-3.141562
0.100000,3.082363,3.117119,-3.136858,3.141205,3.141353,-3.141562
0.100000,3.082049,3.117019,-3.136827,3.141205,3.141353,-3.141562
0.102000,3.081797,3.116931,-3.136800,3.141205,3.141353,-3.141562
0.106000,3.081606,3.116854,-3.136777,3.141205,3.141353,-3.141562
0.106000,3.081471,3.116789,-3.136757,3.141205,3.141353,-3.141562
0.108000,3.081393,3.116735,-3.136740,3.141205,3.141353,-3.141562
