time,des_x,des_y,des_z,act_x,act_y,act_z,err,t_swing
0.032000,-0.044720,0.076959,-0.005045,-0.055400,0.047150,-0.010900,0.031664,0.000000
0.056000,-0.043226,0.078330,-0.002118,-0.055130,0.046448,-0.003891,0.034032,0.025000
0.080000,-0.039227,0.078247,-0.002756,-0.054486,0.046542,0.000611,0.035186,0.050000
0.106000,-0.035884,0.078650,-0.002368,-0.049266,0.045842,0.011375,0.035432,0.075000
0.130000,-0.032806,0.079473,-0.002281,-0.042959,0.046518,0.023079,0.034483,0.100000
0.156000,-0.028987,0.079987,-0.002166,-0.038251,0.048555,0.035106,0.032769,0.125000
0.182000,-0.024397,0.079923,-0.002154,-0.036584,0.052729,0.045050,0.029800,0.150000
0.206000,-0.018886,0.079296,-0.002150,-0.038205,0.057821,0.049681,0.028886,0.175000
0.232000,-0.012275,0.078273,-0.002103,-0.043599,0.064532,0.047092,0.034206,0.200000
0.256000,-0.005596,0.077160,-0.002085,-0.051544,0.071355,0.036391,0.046313,0.225000
0.282000,0.003512,0.075790,-0.001966,-0.054018,0.076342,0.026292,0.057533,0.250000
0.306000,0.011471,0.074838,-0.001915,-0.050708,0.078946,0.019153,0.062314,0.275000
0.330000,0.020653,0.073993,-0.001870,-0.041886,0.079813,0.013245,0.062809,0.300000
0.356000,0.030536,0.073190,-0.001861,-0.030502,0.079672,0.009108,0.061381,0.325000
0.380000,0.041672,0.072212,-0.001884,-0.016038,0.078987,0.005780,0.058106,0.350000
0.406000,0.055214,0.070856,-0.001925,-0.000103,0.077870,0.003347,0.055760,0.375000
0.430000,0.068257,0.069460,-0.001984,0.014297,0.076583,0.001632,0.054429,0.400000
0.456000,0.083183,0.067598,0.001174,-0.048488,0.090305,-0.002037,0.133615,0.025000
0.480000,0.095426,0.066739,-0.000962,-0.046608,0.090507,0.001807,0.144008,0.050000
0.506000,0.107982,0.066501,-0.002031,-0.028502,0.092856,0.013274,0.139006,0.075000
0.530000,0.116020,0.065933,-0.002358,-0.020044,0.094396,0.023526,0.139009,0.100000
0.556000,0.125303,0.065425,-0.002987,-0.017026,0.094743,0.032588,0.145316,0.125000
0.580000,0.137167,0.065269,-0.003595,-0.010006,0.094152,0.042471,0.149980,0.150000
0.606000,0.152232,0.064652,-0.003948,-0.001735,0.095980,0.048557,0.157122,0.175000
0.630000,0.169235,0.063396,-0.004049,0.008526,0.100478,0.048560,0.164932,0.200000
0.656000,0.190110,0.061656,-0.004072,0.018483,0.107908,0.038514,0.177749,0.225000
0.680000,0.212309,0.058740,-0.004160,0.040698,0.111529,0.029118,0.179547,0.250000
0.706000,0.238072,0.054914,-0.004148,0.073814,0.110644,0.020797,0.173454,0.275000
0.730000,0.264622,0.050734,-0.004056,0.117060,0.105059,0.013357,0.157245,0.300000
0.756000,0.293611,0.046086,-0.004046,0.161420,0.096126,0.007938,0.141345,0.325000
0.780000,0.318474,0.040998,-0.004101,0.209841,0.084006,0.003434,0.116837,0.350000
0.806000,0.316976,0.033901,-0.003965,0.238307,0.077436,0.001261,0.089911,0.375000
0.830000,0.315078,0.028745,-0.002854,0.240760,0.077160,0.001153,0.088698,0.400000
0.856000,0.385236,0.024208,0.001428,0.014819,0.074059,-0.002439,0.373756,0.025000
0.880000,0.404435,0.017076,0.000506,0.018450,0.070391,0.005924,0.389649,0.050000
0.906000,0.421578,0.014404,0.000070,0.037501,0.067721,0.017418,0.387760,0.075000
0.930000,0.434730,0.013690,-0.000141,0.061075,0.067573,0.028666,0.377520,0.100000
0.956000,0.451501,0.011547,-0.000532,0.096023,0.071606,0.039039,0.360516,0.125000
0.980000,0.469529,0.006277,-0.000901,0.130548,0.077476,0.043920,0.346378,0.150000
1.006000,0.490433,-0.002552,-0.001157,0.164844,0.083176,0.040616,0.336687,0.175000
1.032000,0.516210,-0.015653,-0.001209,0.200782,0.086618,0.025604,0.331593,0.200000
1.056000,0.542609,-0.029925,-0.000961,0.231771,0.086580,-0.003112,0.331955,0.225000
1.080000,0.540752,-0.040220,-0.001014,0.239640,0.085421,-0.007048,0.326273,0.250000
1.106000,0.538618,-0.056542,-0.000672,0.240435,0.085262,-0.005192,0.330184,0.275000
1.130000,0.464948,-0.080571,0.007328,0.239749,0.086443,-0.003278,0.280372,0.300000
1.156000,0.445502,-0.125549,-0.022681,0.245124,0.077594,-0.002879,0.285339,0.325000
1.182000,0.472058,-0.088848,-0.006417,0.247059,0.083639,0.003836,0.283507,0.350000
1.206000,0.104889,0.117135,0.355329,0.283166,0.067294,0.004247,0.185113,0.375000
1.230000,0.602661,-0.075167,0.522708,0.323595,0.038705,-0.003533,0.301405,0.446373
1.256000,0.627226,-0.283974,-0.001816,-0.202804,-0.185678,0.482189,0.835830,0.025000
1.280000,0.623989,-0.206838,0.001803,0.124773,-0.396494,0.022188,0.534028,0.069366
1.306000,0.411131,-0.169333,0.047633,0.307028,-0.433293,-0.034080,0.283747,0.094366
1.330000,0.330730,-0.086237,0.156902,0.323648,-0.432443,-0.014782,0.346278,0.119366
1.356000,0.810359,-0.052809,0.251142,0.309800,-0.433153,0.026136,0.628666,0.144366
1.380000,0.494049,-0.037833,0.480456,0.201177,-0.362178,0.114707,0.437006,0.169366
1.406000,0.950321,0.096495,0.273102,0.153700,-0.273998,0.238249,0.878562,0.194366
1.430000,0.543063,0.049055,0.220096,0.155181,-0.183355,0.411704,0.452180,0.236399
1.456000,0.836577,-0.004793,0.119029,0.222227,-0.070987,0.536061,0.617905,0.261399
