time,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.008000,-0.361175,2.553846,-0.730433,17.618135,-4.635856,-22.358895
0.010000,-0.434454,2.602266,-0.909489,18.790274,-5.084399,-23.516163
0.012000,-0.494371,2.645096,-1.062097,19.959430,-5.551356,-24.711402
0.014000,-0.542978,2.683113,-1.192094,21.127779,-6.036153,-25.943262
0.016000,-0.583909,2.716303,-1.303105,22.187180,-6.495029,-27.117542
0.018000,-0.614252,2.747713,-1.398988,23.467583,-7.057082,-28.511978
0.020000,-0.639018,2.775176,-1.479866,24.642777,-7.592710,-29.847800
0.022000,-0.659871,2.798621,-1.547464,25.675988,-8.081468,-31.086673
0.024000,-0.674466,2.821130,-1.605984,26.850245,-8.642282,-32.476329
0.026000,1.306742,2.114766,2.266267,28.031993,-9.218595,-33.898790
0.028000,1.377236,2.104399,2.377403,29.222227,-9.810124,-35.353922
0.030000,1.218765,2.255176,2.163430,28.766413,-9.772304,-35.236579
0.032000,1.031288,2.443156,1.881318,28.192350,-9.708166,-35.009774
0.034000,0.831961,2.659625,1.531145,27.720541,-9.725311,-34.896007
0.036000,0.698707,2.829369,1.306960,27.044327,-9.670703,-34.584063
0.038000,0.621715,2.946478,1.184787,26.281518,-9.602612,-34.207456
0.040000,0.580925,3.029963,1.123234,25.507520,-9.528071,-33.795155
0.042000,0.587196,3.073692,1.148669,24.678160,-9.390262,-33.244428
0.044000,0.571065,3.133305,1.112724,23.996739,-9.300539,-32.807500
0.046000,0.517849,3.221953,0.990758,23.466305,-9.251069,-32.478345
0.048000,0.492382,3.287600,0.918490,22.914233,-9.135675,-32.030314
0.050000,0.485271,3.331752,0.880454,22.373662,-9.004241,-31.561004
0.052000,0.509631,3.349059,0.898596,21.817585,-8.822942,-31.003074
0.054000,0.512561,3.375956,0.873592,21.352958,-8.673298,-30.532465
0.056000,0.485870,3.419387,0.790302,20.982528,-8.547798,-30.139982
0.058000,0.497211,3.437478,0.770517,20.577986,-8.353333,-29.616955
0.060000,0.501006,3.449778,0.742947,20.218304,-8.181677,-29.156738
0.062000,0.487392,3.464329,0.688016,19.914424,-8.027148,-28.755156
0.064000,0.505298,3.461530,0.682134,19.586867,-7.828852,-28.265846
0.066000,0.514647,3.452349,0.669403,19.295043,-7.648850,-27.829861
0.068000,0.519787,3.441665,0.648982,19.031054,-7.469457,-27.409164
0.070000,0.522616,3.427961,0.624966,18.789455,-7.291674,-27.002591
0.072000,0.515183,3.407744,0.592144,18.576026,-7.123379,-26.632554
0.074000,0.527823,3.385427,0.581767,18.352765,-6.946901,-26.233296
0.076000,0.532824,3.353409,0.571264,18.148201,-6.783492,-25.871382
0.078000,0.535262,3.318596,0.557562,17.958309,-6.626332,-25.527416
0.080000,0.535704,3.280884,0.541539,17.781223,-6.477149,-25.201925
0.082000,0.535002,3.239619,0.525127,17.614150,-6.337086,-24.895153
0.084000,0.533836,3.194288,0.509882,17.454792,-6.207069,-24.607211
0.086000,0.532459,3.144790,0.496346,17.301802,-6.087879,-24.338264
0.088000,0.530708,3.091371,0.484155,17.154306,-5.979913,-24.088435
0.090000,0.528286,3.034432,0.472577,17.011873,-5.883544,-23.857790
0.092000,0.524709,2.974049,0.461279,16.869099,-5.795033,-23.643518
0.094000,0.520276,2.910710,0.449807,16.730826,-5.719020,-23.448151
0.096000,0.515025,2.844587,0.438050,16.597304,-5.656309,-23.272061
0.098000,0.509085,2.775718,0.426193,16.468059,-5.607118,-23.114858
0.100000,0.502613,2.704105,0.414502,16.342581,-5.571518,-22.975980
0.102000,0.493951,2.629278,0.403524,16.220497,-5.549484,-22.854794
0.104000,0.484862,2.551780,0.392917,16.101589,-5.540898,-22.750622
0.106000,0.475361,2.471784,0.382520,15.985977,-5.545653,-22.662843
0.108000,0.465440,2.389450,0.372200,15.873611,-5.563495,-22.590693
0.110000,0.455124,2.304904,0.361912,15.764388,-5.594100,-22.533328
