time,stance,t_swing,tau,contact_l,contact_r,has_lifted,step_x,step_y,des_x,des_y,des_z,vx_des,vy_des,vz_des,act_x,act_y,act_z,switched
0.010000,1,0.000000,0.000000,1,1,0,0.013252,0.013144,-0.056367,0.046771,-0.003557,0.007778,-0.009225,0.785398,-0.056288,0.046744,-0.019143,0
0.012000,1,0.002000,0.010000,1,1,0,0.013252,0.013144,-0.056344,0.046743,-0.001986,0.015400,-0.018266,0.785011,-0.056240,0.046726,-0.018425,0
0.014000,1,0.004000,0.020000,1,1,0,0.013252,0.013144,-0.056306,0.046698,-0.000417,0.022865,-0.027119,0.783848,-0.056240,0.046726,-0.018425,0
0.016000,1,0.006000,0.030000,1,1,0,0.013252,0.013144,-0.056253,0.046635,0.001149,0.030174,-0.035788,0.781913,-0.056191,0.046709,-0.017665,0
0.016000,1,0.008000,0.040000,1,1,0,0.013252,0.013144,-0.056185,0.046555,0.002710,0.037327,-0.044271,0.779205,-0.056143,0.046695,-0.016875,0
0.020000,1,0.010000,0.050000,1,1,0,0.013252,0.013144,-0.056103,0.046458,0.004265,0.044327,-0.052570,0.775729,-0.056047,0.046671,-0.015252,0
0.022000,1,0.012000,0.060000,1,1,0,0.013252,0.013144,-0.056008,0.046345,0.005812,0.051170,-0.060683,0.771487,-0.056047,0.046671,-0.015252,0
0.024000,1,0.014000,0.070000,1,1,0,0.013252,0.013144,-0.055899,0.046216,0.007350,0.057921,-0.068526,0.766483,-0.055796,0.046908,-0.013201,0
0.026000,1,0.016000,0.080000,1,1,0,0.013252,0.013144,-0.055776,0.046071,0.008878,0.064513,-0.076184,0.760723,-0.055796,0.046908,-0.013201,0
0.028000,1,0.018000,0.090000,1,1,0,0.013252,0.013144,-0.055641,0.045911,0.010393,0.070955,-0.083656,0.754213,-0.055738,0.046912,-0.012373,0
0.030000,1,0.020000,0.100000,1,1,0,0.013252,0.013144,-0.055493,0.045736,0.011894,0.077255,-0.090940,0.746958,-0.055628,0.046924,-0.010774,0
0.032000,1,0.022000,0.110000,1,1,0,0.013252,0.013144,-0.055332,0.045547,0.013380,0.083396,-0.098041,0.738966,-0.055628,0.046924,-0.010774,0
0.034000,1,0.024000,0.120000,1,1,0,0.013252,0.013144,-0.055159,0.045344,0.014850,0.089386,-0.104956,0.730245,-0.055576,0.046931,-0.010010,0
0.036000,1,0.026000,0.130000,1,1,0,0.011235,0.013864,-0.054975,0.045128,0.016301,0.094436,-0.111403,0.720803,-0.055527,0.046939,-0.009272,0
0.036000,1,0.028000,0.140000,1,1,0,0.011235,0.013864,-0.054781,0.044899,0.017732,0.099355,-0.117672,0.710650,-0.055479,0.046948,-0.008562,0
0.040000,1,0.030000,0.150000,1,1,0,0.011235,0.013864,-0.054578,0.044657,0.019143,0.104022,-0.123895,0.699795,-0.055822,0.046570,-0.007730,0
0.042000,1,0.032000,0.160000,1,1,0,0.011235,0.013864,-0.054365,0.044403,0.020531,0.108549,-0.129946,0.688250,-0.056104,0.046406,-0.006752,0
0.044000,1,0.034000,0.170000,1,1,0,0.011235,0.013864,-0.054144,0.044138,0.021895,0.112937,-0.135816,0.676025,-0.056104,0.046406,-0.006752,0
0.046000,1,0.036000,0.180000,1,1,0,0.011235,0.013864,-0.053914,0.043860,0.023235,0.117184,-0.141517,0.663134,-0.056506,0.046193,-0.005678,0
0.048000,1,0.038000,0.190000,1,1,0,0.011235,0.013864,-0.053675,0.043572,0.024547,0.121284,-0.147072,0.649588,-0.057434,0.045738,-0.003422,0
0.050000,1,0.040000,0.200000,1,1,0,0.011235,0.013864,-0.053429,0.043272,0.025833,0.125244,-0.152465,0.635400,-0.057898,0.045512,-0.002262,0
0.052000,1,0.042000,0.210000,1,1,0,0.011235,0.013864,-0.053174,0.042962,0.027089,0.129065,-0.157675,0.620586,-0.057898,0.045512,-0.002262,0
0.054000,1,0.044000,0.220000,1,1,0,0.011235,0.013864,-0.052913,0.042641,0.028314,0.132745,-0.162725,0.605160,-0.058325,0.045308,-0.001076,0
0.056000,1,0.046000,0.230000,1,1,0,0.011235,0.013864,-0.052643,0.042311,0.029509,0.136284,-0.167617,0.589136,-0.058703,0.045130,0.000144,0
0.058000,1,0.048000,0.240000,0,1,1,0.011235,0.013864,-0.052368,0.041971,0.030671,0.139618,-0.172436,0.572531,-0.059172,0.044797,0.001828,0
0.060000,1,0.050000,0.250000,0,1,1,0.012452,0.018050,-0.052084,0.041624,0.031799,0.143515,-0.174826,0.555360,-0.059553,0.044739,0.004014,0
0.062000,1,0.052000,0.260000,0,1,1,0.012452,0.018050,-0.051794,0.041272,0.032892,0.147253,-0.177113,0.537642,-0.059768,0.044656,0.005354,0
0.064000,1,0.054000,0.270000,0,1,1,0.012452,0.018050,-0.051495,0.040915,0.033949,0.150830,-0.179297,0.519393,-0.059956,0.044591,0.006708,0
0.066000,1,0.056000,0.280000,0,1,1,0.012452,0.018050,-0.051190,0.040554,0.034969,0.154279,-0.181535,0.500632,-0.060085,0.044258,0.008343,0
0.068000,1,0.058000,0.290000,0,1,1,0.012452,0.018050,-0.050878,0.040189,0.035951,0.157571,-0.183640,0.481376,-0.060085,0.044258,0.008343,0
0.070000,1,0.060000,0.300000,0,1,1,0.012452,0.018050,-0.050560,0.039820,0.036894,0.160730,-0.185671,0.461645,-0.060299,0.044168,0.011004,0
0.072000,1,0.062000,0.310000,0,1,1,0.012452,0.018050,-0.050236,0.039447,0.037797,0.163649,-0.187397,0.441459,-0.060505,0.044450,0.012146,0
