time,Fx,Fy,Fz
0.006000,0.722650,-7.115095,114.179859
0.008000,2.902901,-8.764451,115.536636
0.010000,4.738795,-10.146050,117.487762
0.012000,6.288936,-11.301607,120.146739
0.014000,7.591040,-12.261521,123.419837
0.016000,8.661256,-13.057135,126.656470
0.018000,9.610249,-13.717846,131.422654
0.020000,10.368244,-14.248784,136.044258
0.022000,10.992184,-14.675371,140.997516
0.024000,11.466231,-15.012335,145.447439
0.026000,11.884404,-15.281806,150.854580
0.028000,-28.213612,13.260848,238.764478
0.030000,-29.198297,13.398621,245.913137
0.032000,-32.035373,14.620413,247.180718
0.034000,-31.344387,13.565188,243.129439
0.036000,-30.642171,12.617925,237.821827
0.038000,-29.947026,11.726321,232.436353
0.040000,-29.179280,10.781886,226.765448
0.042000,-28.602788,10.076163,220.948927
0.044000,-27.631698,9.005294,215.474817
0.046000,-27.020528,8.386544,210.049529
0.048000,-26.281393,7.647025,204.899022
0.050000,-25.515078,6.912507,199.832516
0.052000,-24.740030,6.192485,194.867771
0.054000,-24.016508,5.634212,190.310391
0.056000,-23.177188,5.188575,186.207931
0.058000,-23.667666,4.947983,183.693673
0.060000,-22.673217,4.370120,179.438769
0.062000,-20.217605,3.537194,173.954330
0.064000,-19.223186,2.979003,170.122606
0.066000,-18.137788,2.261594,166.082358
0.068000,-17.184703,1.616412,162.338344
0.070000,-16.238851,0.976850,158.704213
0.072000,-15.290439,0.336045,155.172949
0.074000,-14.520899,-0.148326,151.949197
0.076000,-13.277366,-1.012424,148.192506
0.078000,-12.330834,-1.493135,145.065090
0.080000,-11.418201,-2.072169,142.026476
0.082000,-10.736739,-2.452019,139.300185
0.084000,-9.795971,-3.057380,136.429596
0.086000,-8.756860,-3.715310,133.446933
0.088000,-7.392485,-4.661749,130.278572
0.090000,-6.731086,-4.995843,127.944954
0.092000,-5.783823,-5.579616,125.469626
0.094000,-4.795558,-6.163495,122.938348
0.096000,-3.901601,-6.693119,120.662345
0.098000,-2.918820,-7.258945,118.290883
0.100000,-2.030706,-7.744406,116.073459
0.102000,-1.116376,-8.244129,113.899529
0.104000,-1.702236,-8.478199,113.185684
0.106000,0.308338,-8.819923,110.404843
0.108000,1.148623,-9.235591,108.502965
0.110000,2.102776,-9.627287,106.611080
0.112000,2.714878,-9.902985,105.044935
0.114000,3.358492,-10.175218,103.412030
0.116000,3.900487,-10.396497,101.854264
0.118000,4.389912,-10.576219,100.370261
0.120000,4.754090,-10.686297,99.111484
0.122000,5.125258,-10.778353,97.808292
0.124000,5.445877,-10.832710,96.591648
0.126000,5.723828,-10.854283,95.447021
0.128000,6.261142,-11.384499,93.952504
0.130000,6.120058,-11.156721,93.201890
0.132000,6.540303,-11.308421,92.127380
0.134000,6.320641,-10.986509,91.494756
0.136000,6.640207,-11.020174,90.643882
0.138000,6.612373,-10.820824,90.048488
0.140000,6.542380,-10.619160,89.593241
0.142000,6.223310,-10.286800,89.292177
0.144000,6.118945,-10.063978,88.930642
