time,roll_e,pitch_e,yaw_e
0.008000,0.000000,0.000000,0.000000
0.008000,-0.000312,0.000111,-0.000270
0.010000,-0.000677,0.000251,-0.000582
0.014000,-0.001088,0.000422,-0.000930
0.014000,-0.001540,0.000624,-0.001308
0.016000,-0.002027,0.000856,-0.001711
0.020000,-0.002546,0.001120,-0.002135
0.022000,-0.003094,0.001416,-0.002575
0.022000,-0.003667,0.001744,-0.003030
0.024000,-0.004264,0.002104,-0.003496
0.028000,-0.005521,0.002921,-0.004455
0.030000,-0.006178,0.003379,-0.004945
0.032000,-0.006178,0.003379,-0.004945
0.034000,-0.006854,0.003869,-0.005442
0.034000,-0.007548,0.004393,-0.005944
0.036000,-0.008259,0.004949,-0.006450
0.040000,-0.009733,0.006160,-0.007477
0.042000,-0.010495,0.006815,-0.007997
0.044000,-0.010495,0.006815,-0.007997
0.044000,-0.011275,0.007502,-0.008521
0.046000,-0.011919,0.008125,-0.009050
0.048000,-0.012437,0.008693,-0.009590
0.052000,-0.013143,0.009695,-0.010700
0.052000,-0.013143,0.009695,-0.010700
0.056000,-0.013366,0.010155,-0.011257
0.058000,-0.013531,0.010603,-0.011798
0.058000,-0.013640,0.011044,-0.012324
0.060000,-0.013704,0.011482,-0.012830
0.064000,-0.013717,0.012361,-0.013777
0.066000,-0.013717,0.012361,-0.013777
0.066000,-0.013677,0.012807,-0.014215
0.068000,-0.013617,0.013260,-0.014628
0.072000,-0.013437,0.014180,-0.015380
0.074000,-0.013321,0.014647,-0.015720
0.076000,-0.013321,0.014647,-0.015720
0.076000,-0.013191,0.015117,-0.016038
0.078000,-0.013049,0.015589,-0.016333
0.080000,-0.012894,0.016061,-0.016606
0.084000,-0.012548,0.017002,-0.017087
0.086000,-0.012360,0.017467,-0.017295
0.088000,-0.012360,0.017467,-0.017295
0.088000,-0.012163,0.017928,-0.017485
0.090000,-0.011959,0.018382,-0.017656
0.092000,-0.011746,0.018828,-0.017807
0.096000,-0.011298,0.019692,-0.018050
0.098000,-0.011065,0.020108,-0.018143
0.098000,-0.011065,0.020108,-0.018143
0.100000,-0.010828,0.020512,-0.018219
0.104000,-0.010345,0.021279,-0.018320
0.106000,-0.010345,0.021279,-0.018320
0.106000,-0.010099,0.021640,-0.018343
0.108000,-0.009853,0.021987,-0.018350
0.110000,-0.009606,0.022317,-0.018338
0.112000,-0.009359,0.022632,-0.018308
0.116000,-0.009114,0.022929,-0.018260
0.118000,-0.008870,0.023208,-0.018193
0.118000,-0.008628,0.023469,-0.018110
0.120000,-0.008391,0.023711,-0.018009
0.122000,-0.008158,0.023933,-0.017891
0.124000,-0.007929,0.024135,-0.017756
0.128000,-0.007707,0.024318,-0.017606
0.130000,-0.007491,0.024481,-0.017439
0.130000,-0.007283,0.024625,-0.017257
0.132000,-0.007082,0.024749,-0.017060
0.134000,-0.006891,0.024852,-0.016847
0.138000,-0.006711,0.024936,-0.016620
0.140000,-0.006541,0.025001,-0.016376
0.142000,-0.006383,0.025046,-0.016116
0.142000,-0.006235,0.025072,-0.015844
0.144000,-0.006099,0.025079,-0.015559
0.148000,-0.005976,0.025068,-0.015259
0.150000,-0.005769,0.024992,-0.014613
0.152000,-0.005769,0.024992,-0.014613
0.152000,-0.005687,0.024928,-0.014268
0.154000,-0.005617,0.024848,-0.013912
0.156000,-0.005560,0.024751,-0.013545
0.158000,-0.005518,0.024637,-0.013165
0.162000,-0.005492,0.024508,-0.012772
0.162000,-0.005480,0.024364,-0.012362
0.164000,-0.005484,0.024204,-0.011934
0.166000,-0.005504,0.024029,-0.011489
0.168000,-0.005538,0.023839,-0.011028
0.172000,-0.005653,0.023415,-0.010059
0.174000,-0.005653,0.023415,-0.010059
0.174000,-0.005732,0.023181,-0.009553
0.176000,-0.005824,0.022934,-0.009038
0.178000,-0.005931,0.022673,-0.008512
0.180000,-0.006053,0.022399,-0.007974
0.184000,-0.006341,0.021816,-0.006868
0.186000,-0.006341,0.021816,-0.006868
0.188000,-0.006507,0.021507,-0.006300
0.188000,-0.006690,0.021189,-0.005712
0.190000,-0.006890,0.020862,-0.005100
0.192000,-0.007106,0.020525,-0.004464
0.196000,-0.007589,0.019824,-0.003127
0.198000,-0.007589,0.019824,-0.003127
0.200000,-0.007852,0.019458,-0.002430
0.200000,-0.008126,0.019083,-0.001724
0.202000,-0.008411,0.018697,-0.001012
0.204000,-0.008709,0.018303,-0.000293
0.208000,-0.009339,0.017491,0.001159
0.210000,-0.009339,0.017491,0.001159
0.212000,-0.009672,0.017073,0.001887
0.212000,-0.010027,0.016656,0.002674
0.214000,-0.010402,0.016235,0.003517
0.216000,-0.010796,0.015811,0.004416
0.220000,-0.011623,0.014936,0.006302
0.222000,-0.011623,0.014936,0.006302
0.224000,-0.012044,0.014481,0.007233
0.224000,-0.012463,0.014015,0.008121
0.226000,-0.012881,0.013539,0.008959
0.228000,-0.013301,0.013057,0.009743
0.232000,-0.013723,0.012572,0.010476
0.234000,-0.014152,0.012086,0.011163
0.234000,-0.014666,0.011554,0.011749
0.236000,-0.015248,0.010988,0.012255
0.238000,-0.015837,0.010408,0.012621
0.240000,-0.016419,0.009823,0.012856
0.244000,-0.016986,0.009240,0.012970
0.244000,-0.017529,0.008663,0.012979
0.246000,-0.018046,0.008097,0.012904
0.248000,-0.018531,0.007545,0.012765
0.250000,-0.018981,0.007009,0.012580
0.254000,-0.018981,0.007009,0.012580
0.254000,-0.019767,0.005995,0.012125
0.256000,-0.020099,0.005519,0.011873
0.258000,-0.020389,0.005064,0.011621
0.260000,-0.020638,0.004630,0.011386
0.262000,-0.020851,0.004216,0.011161
0.266000,-0.021167,0.003444,0.010752
0.268000,-0.021167,0.003444,0.010752
0.268000,-0.021274,0.003087,0.010573
0.270000,-0.021350,0.002747,0.010416
0.272000,-0.021394,0.002426,0.010281
0.276000,-0.021409,0.002123,0.010170
0.278000,-0.021395,0.001837,0.010081
0.278000,-0.021353,0.001568,0.010016
0.282000,-0.021195,0.001080,0.009959
0.284000,-0.021081,0.000859,0.009967
0.284000,-0.021081,0.000859,0.009967
0.286000,-0.020947,0.000652,0.009997
0.290000,-0.020624,0.000280,0.010133
0.292000,-0.020624,0.000280,0.010133
0.292000,-0.020436,0.000115,0.010238
0.296000,-0.020015,-0.000179,0.010519
0.298000,-0.020015,-0.000179,0.010519
0.300000,-0.019784,-0.000308,0.010694
0.300000,-0.019541,-0.000426,0.010890
0.302000,-0.019288,-0.000533,0.011109
0.306000,-0.018750,-0.000715,0.011610
0.308000,-0.018750,-0.000715,0.011610
0.308000,-0.018468,-0.000791,0.011893
0.310000,-0.018179,-0.000859,0.012194
0.312000,-0.017884,-0.000917,0.012516
0.314000,-0.017582,-0.000967,0.012859
0.318000,-0.016963,-0.001043,0.013608
0.320000,-0.016963,-0.001043,0.013608
0.320000,-0.016647,-0.001068,0.014012
0.322000,-0.016329,-0.001087,0.014434
0.324000,-0.016008,-0.001099,0.014872
0.328000,-0.015359,-0.001100,0.015805
0.330000,-0.015359,-0.001100,0.015805
0.330000,-0.015032,-0.001090,0.016300
0.332000,-0.014705,-0.001074,0.016811
0.334000,-0.014377,-0.001051,0.017340
0.338000,-0.013718,-0.000986,0.018454
0.340000,-0.013718,-0.000986,0.018454
0.342000,-0.013388,-0.000945,0.019040
