time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.006000,1,0.150422,0.604968,1.160022,-0.250320,-0.601758,1.203343
0.008000,1,0.150663,0.607828,1.165773,-0.250504,-0.602824,1.205383
0.010000,1,0.150941,0.611110,1.172364,-0.250715,-0.604089,1.207812
0.012000,1,0.151247,0.614731,1.179625,-0.250950,-0.605531,1.210594
0.014000,1,0.151579,0.618617,1.187414,-0.251204,-0.607136,1.213702
0.016000,1,0.151932,0.622713,1.195618,-0.251475,-0.608887,1.217110
0.018000,1,0.152304,0.626968,1.204139,-0.251760,-0.610772,1.220798
0.020000,1,0.152692,0.631339,1.212894,-0.252058,-0.612781,1.224747
0.022000,1,0.153094,0.635792,1.221816,-0.252366,-0.614905,1.228943
0.024000,1,0.153510,0.640299,1.230852,-0.252684,-0.617137,1.233374
0.026000,1,0.153937,0.644837,1.239958,-0.253011,-0.619469,1.238029
0.028000,1,0.154377,0.649388,1.249102,-0.253347,-0.621897,1.242899
0.030000,1,0.154827,0.653938,1.258259,-0.253691,-0.624418,1.247980
0.032000,1,0.155250,0.658240,1.267008,-0.254043,-0.626714,1.252606
0.034000,1,0.155643,0.662774,1.275923,-0.254323,-0.628631,1.256651
0.036000,1,0.156015,0.667608,1.285083,-0.254539,-0.630186,1.260146
0.038000,1,0.156376,0.672732,1.294464,-0.254701,-0.631422,1.263157
0.040000,1,0.156730,0.678144,1.304057,-0.254813,-0.632374,1.265734
0.042000,1,0.157088,0.683833,1.313841,-0.254883,-0.633077,1.267934
0.044000,1,0.157458,0.689787,1.323790,-0.254916,-0.633564,1.269807
0.046000,1,0.157857,0.695988,1.333876,-0.254921,-0.633873,1.271415
0.048000,1,0.158292,0.702418,1.344064,-0.254902,-0.634029,1.272795
0.050000,1,0.158770,0.709069,1.354336,-0.254861,-0.634051,1.273980
0.052000,1,0.159296,0.715931,1.364669,-0.254803,-0.633957,1.274998
0.054000,1,0.159873,0.722990,1.375035,-0.254728,-0.633762,1.275874
0.056000,1,0.160460,0.730223,1.385016,-0.254629,-0.633478,1.276628
0.058000,1,0.161057,0.737622,1.394597,-0.254508,-0.633116,1.277277
0.060000,1,0.161674,0.745179,1.403831,-0.254369,-0.632686,1.277837
0.062000,1,0.162324,0.752910,1.412759,-0.254212,-0.632192,1.278318
0.064000,1,0.163020,0.760805,1.421419,-0.254040,-0.631645,1.278734
0.066000,1,0.163767,0.768824,1.429849,-0.253856,-0.631054,1.279096
0.068000,1,0.164570,0.776952,1.438060,-0.253660,-0.630426,1.279414
0.070000,1,0.165437,0.785175,1.446065,-0.253454,-0.629766,1.279693
0.072000,1,0.166371,0.793478,1.453866,-0.253241,-0.629077,1.279941
0.074000,1,0.167375,0.801847,1.461460,-0.253021,-0.628364,1.280162
0.076000,1,0.168453,0.810282,1.468858,-0.252795,-0.627623,1.280349
0.078000,1,0.169602,0.818756,1.476034,-0.252565,-0.626863,1.280517
0.080000,1,0.170827,0.827249,1.482981,-0.252333,-0.626088,1.280668
0.082000,1,0.172126,0.835745,1.489691,-0.252101,-0.625301,1.280805
0.084000,1,0.173497,0.844231,1.496154,-0.251870,-0.624502,1.280928
0.086000,1,0.174943,0.852707,1.502384,-0.251638,-0.623687,1.281033
0.088000,1,0.176460,0.861161,1.508370,-0.251408,-0.622859,1.281119
0.090000,1,0.178043,0.869561,1.514069,-0.251182,-0.622025,1.281195
0.092000,1,0.179693,0.877882,1.519466,-0.250962,-0.621188,1.281262
0.094000,1,0.181413,0.886127,1.524581,-0.250748,-0.620343,1.281315
0.096000,1,0.183193,0.894267,1.529375,-0.250542,-0.619496,1.281359
0.098000,1,0.185035,0.902303,1.533869,-0.250343,-0.618644,1.281388
0.100000,1,0.186937,0.910218,1.538049,-0.250152,-0.617789,1.281404
0.102000,1,0.188894,0.917998,1.541907,-0.249971,-0.616932,1.281406
0.104000,1,0.188894,0.917998,1.541907,-0.249971,-0.616932,1.281406
0.106000,1,0.192938,0.933034,1.548505,-0.249646,-0.615231,1.281383
0.108000,1,0.195022,0.940275,1.551262,-0.249502,-0.614384,1.281352
0.110000,1,0.197149,0.947346,1.553647,-0.249372,-0.613535,1.281306
0.112000,1,0.199300,0.954191,1.555640,-0.249257,-0.612694,1.281249
0.114000,1,0.201475,0.960814,1.557268,-0.249157,-0.611856,1.281177
0.116000,1,0.203672,0.967201,1.558546,-0.249073,-0.611025,1.281090
0.118000,1,0.205886,0.973340,1.559471,-0.249007,-0.610200,1.280989
0.120000,1,0.208101,0.979207,1.560006,-0.248958,-0.609386,1.280877
0.122000,1,0.210321,0.984805,1.560176,-0.248927,-0.608580,1.280751
0.124000,1,0.212539,0.990126,1.559974,-0.248913,-0.607783,1.280611
0.126000,1,0.214749,0.995163,1.559401,-0.248918,-0.606996,1.280459
0.128000,1,0.216938,0.999900,1.558428,-0.248942,-0.606221,1.280298
0.130000,1,0.219099,1.004332,1.557056,-0.248985,-0.605459,1.280128
0.132000,1,0.221235,1.008464,1.555309,-0.249046,-0.604710,1.279947
0.134000,1,0.223348,1.012285,1.553187,-0.249128,-0.603973,1.279757
0.136000,1,0.225433,1.015798,1.550695,-0.249230,-0.603250,1.279558
0.138000,1,0.227485,1.018997,1.547834,-0.249353,-0.602541,1.279352
0.140000,1,0.229493,1.021874,1.544589,-0.249494,-0.601848,1.279142
0.142000,1,0.231453,1.024430,1.540968,-0.249655,-0.601171,1.278928
0.144000,1,0.233365,1.026670,1.536991,-0.249836,-0.600509,1.278710
0.146000,1,0.235226,1.028594,1.532664,-0.250037,-0.599863,1.278488
0.148000,1,0.237031,1.030207,1.527995,-0.250257,-0.599233,1.278263
0.150000,1,0.238773,1.031510,1.522978,-0.250495,-0.598618,1.278039
0.152000,1,0.240452,1.032509,1.517632,-0.250753,-0.598021,1.277813
0.154000,1,0.242065,1.033205,1.511962,-0.251030,-0.597440,1.277588
0.156000,1,0.243610,1.033594,1.505979,-0.251325,-0.596876,1.277364
0.158000,1,0.245085,1.033684,1.499684,-0.251640,-0.596330,1.277141
0.160000,1,0.246500,1.033469,1.493078,-0.251974,-0.595802,1.276921
0.162000,1,0.247857,1.032953,1.486177,-0.252329,-0.595293,1.276706
0.164000,1,0.249147,1.032135,1.478971,-0.252701,-0.594801,1.276494
0.166000,1,0.250372,1.031019,1.471475,-0.253092,-0.594326,1.276286
0.168000,1,0.251530,1.029608,1.463694,-0.253500,-0.593867,1.276082
0.170000,1,0.252616,1.027910,1.455627,-0.253924,-0.593422,1.275880
0.172000,1,0.253629,1.025928,1.447288,-0.254362,-0.592989,1.275680
0.174000,1,0.254567,1.023668,1.438683,-0.254815,-0.592567,1.275481
0.176000,1,0.255432,1.021134,1.429823,-0.255283,-0.592158,1.275284
0.178000,1,0.256221,1.018328,1.420719,-0.255766,-0.591760,1.275088
0.180000,1,0.256935,1.015256,1.411375,-0.256264,-0.591373,1.274891
0.182000,1,0.257576,1.011923,1.401796,-0.256775,-0.590996,1.274694
0.184000,1,0.258157,1.008329,1.391984,-0.257302,-0.590629,1.274499
0.186000,1,0.258676,1.004477,1.381949,-0.257843,-0.590271,1.274302
0.188000,1,0.259130,1.000373,1.371705,-0.258396,-0.589919,1.274102
0.190000,1,0.259519,0.996019,1.361256,-0.258962,-0.589572,1.273896
0.192000,1,0.259842,0.991423,1.350613,-0.259540,-0.589229,1.273684
0.194000,1,0.260098,0.986590,1.339784,-0.260127,-0.588887,1.273462
0.196000,1,0.260287,0.981526,1.328783,-0.260724,-0.588544,1.273231
0.198000,1,0.260407,0.976238,1.317618,-0.261328,-0.588199,1.272986
0.200000,1,0.260458,0.970732,1.306301,-0.261940,-0.587850,1.272727
0.202000,1,0.260439,0.965014,1.294844,-0.262559,-0.587495,1.272451
0.204000,1,0.260350,0.959091,1.283258,-0.263183,-0.587132,1.272157
0.206000,1,0.260188,0.952975,1.271564,-0.263810,-0.586755,1.271838
0.208000,1,0.259955,0.946666,1.259766,-0.264441,-0.586368,1.271496
0.210000,1,0.259639,0.940133,1.247820,-0.265077,-0.585973,1.271133
0.212000,1,0.259248,0.933430,1.235795,-0.265715,-0.585562,1.270743
0.214000,1,0.258786,0.926556,1.223749,-0.266351,-0.585129,1.270317
0.216000,0,0.258253,0.919461,1.211657,-0.266987,-0.584679,1.269854
0.218000,0,0.257783,0.913791,1.201991,-0.267675,-0.584287,1.269380
0.220000,0,0.257326,0.909477,1.194555,-0.268401,-0.583948,1.268894
0.222000,0,0.256872,0.906136,1.188572,-0.269184,-0.584308,1.269247
0.224000,0,0.256427,0.903612,1.183822,-0.270005,-0.585382,1.270476
0.226000,0,0.255998,0.901769,1.180113,-0.270858,-0.587226,1.272660
0.228000,0,0.255588,0.900509,1.177316,-0.271744,-0.589830,1.275797
0.230000,0,0.255203,0.899729,1.175271,-0.272660,-0.593180,1.279863
0.232000,0,0.254845,0.899351,1.173864,-0.273608,-0.597252,1.284821
0.234000,0,0.254500,0.899315,1.172994,-0.274561,-0.601798,1.290410
0.236000,0,0.254166,0.899559,1.172576,-0.275515,-0.606765,1.296548
0.238000,0,0.253843,0.900040,1.172542,-0.276468,-0.612071,1.303128
0.240000,0,0.253529,0.900710,1.172823,-0.277418,-0.617683,1.310087
0.242000,0,0.253223,0.901527,1.173350,-0.278362,-0.623595,1.317389
0.244000,0,0.252925,0.902456,1.174072,-0.279304,-0.629794,1.324988
0.246000,0,0.252633,0.903472,1.174945,-0.280234,-0.636239,1.332823
0.248000,0,0.252347,0.904553,1.175937,-0.281156,-0.642883,1.340829
0.250000,0,0.252068,0.905677,1.177010,-0.282067,-0.649720,1.348984
0.252000,0,0.251793,0.906827,1.178138,-0.282969,-0.656728,1.357250
0.254000,0,0.251524,0.907993,1.179301,-0.283861,-0.663863,1.365575
0.256000,0,0.251260,0.909162,1.180478,-0.284744,-0.671106,1.373930
0.258000,0,0.251000,0.910324,1.181651,-0.285617,-0.678453,1.382304
0.260000,0,0.250744,0.911469,1.182804,-0.286493,-0.685874,1.390680
0.262000,0,0.250493,0.912592,1.183927,-0.287372,-0.693347,1.399035
0.264000,0,0.250248,0.913692,1.185013,-0.288254,-0.700835,1.407323
0.266000,0,0.250008,0.914762,1.186053,-0.289142,-0.708338,1.415546
0.268000,0,0.249772,0.915799,1.187041,-0.290033,-0.715838,1.423680
