time,solve_ok,fail_count,Fc_x,Fc_y,Fc_z,swing_err
0.008000,1,0,10.271913,-17.357946,-17.456020,0.031524
0.010000,1,0,10.233373,-17.446418,-17.655430,0.031390
0.012000,1,0,13.730907,-21.278518,-27.462865,0.038808
0.014000,1,0,18.802126,-26.694868,-41.616419,0.050268
0.016000,1,0,-72.095942,55.833650,195.162284,0.134897
0.018000,1,0,-70.407857,53.146963,189.372747,0.130672
0.020000,1,0,-69.297540,51.456344,185.446823,0.127852
0.022000,1,0,-68.851452,50.834562,183.628197,0.126627
0.024000,1,0,-70.129266,51.892910,187.665510,0.129791
0.026000,1,0,-67.596796,48.415057,178.413888,0.123032
0.028000,1,0,-66.581057,46.343084,174.379068,0.120181
0.030000,1,0,-66.152613,45.323975,172.328811,0.118817
0.032000,1,0,-65.787660,44.323643,170.416291,0.117569
0.034000,1,0,-66.055607,44.526996,170.751252,0.117989
0.036000,1,0,-65.683691,43.637037,169.021018,0.116862
0.038000,1,0,-64.605671,41.442803,164.872486,0.113946
0.040000,1,0,-64.299728,40.503614,163.053062,0.112772
0.042000,1,0,-48.002379,33.152985,141.864684,0.094836
0.044000,1,0,-32.187792,26.603236,122.853856,0.078748
0.046000,1,0,-20.282305,21.487308,107.945325,0.066180
0.048000,1,0,-9.266154,17.462509,95.470005,0.055606
0.050000,1,0,-4.034313,16.485866,90.188107,0.050976
0.052000,1,0,-3.233689,17.756714,90.078710,0.050571
0.054000,1,0,-8.263818,21.183140,95.345597,0.054714
0.056000,1,0,-13.275669,23.683531,99.062969,0.057821
0.058000,1,0,-18.293095,26.011038,102.264824,0.060585
0.060000,1,0,-18.707453,24.552606,98.713624,0.058095
0.062000,1,0,-16.695417,21.264826,92.035374,0.053154
0.064000,1,0,-14.154119,17.818125,85.387311,0.048203
0.066000,1,0,-12.491406,15.301731,80.484677,0.044582
0.068000,1,0,-10.220201,12.856351,79.405819,0.043283
0.070000,1,0,-10.511917,12.084371,75.019485,0.040609
0.070000,1,0,-10.511917,12.084371,75.019485,0.040609
0.074000,1,0,-9.077338,9.605472,71.055544,0.037758
0.076000,1,0,-7.925244,8.422184,69.392798,0.036513
0.078000,1,0,-7.473020,7.043111,66.682318,0.034581
0.080000,1,0,-7.021497,6.102365,64.980019,0.033360
0.082000,1,0,-6.200473,4.930811,62.909835,0.031842
0.084000,1,0,-5.219511,3.661895,60.643636,0.030171
0.086000,1,0,-3.769156,2.291171,59.607625,0.028765
0.088000,1,0,-3.663941,1.566527,56.704172,0.027272
0.090000,1,0,-3.272507,1.136412,55.032565,0.025990
0.092000,1,0,-2.518733,0.189154,53.029020,0.024501
0.094000,1,0,-1.366009,-0.909054,51.745210,0.022989
0.096000,1,0,-1.100086,-1.665222,49.093668,0.021593
0.098000,1,0,0.098585,-3.054943,46.734651,0.019874
0.100000,1,0,0.228635,-3.324262,45.256915,0.018748
0.102000,1,0,1.467510,-4.707823,42.581778,0.016792
0.104000,1,0,1.449636,-4.798349,41.372913,0.015859
0.106000,1,0,2.307370,-5.688593,39.492297,0.014484
0.108000,1,0,2.095950,-5.580421,38.595401,0.013775
0.110000,1,0,2.921443,-6.432812,36.498819,0.012241
0.112000,1,0,2.737515,-6.305454,35.672206,0.011342
0.114000,1,0,3.068904,-5.949194,33.914486,0.009916
0.116000,1,0,4.012640,-6.848072,31.147406,0.008124
0.118000,1,0,3.808800,-6.793678,30.255086,0.007318
0.120000,1,0,3.796793,-7.001683,28.777761,0.006383
0.122000,1,0,4.554586,-7.727481,26.486186,0.004899
0.124000,1,0,4.036422,-7.409533,25.913546,0.004432
0.126000,1,0,4.127131,-7.578711,24.401095,0.003504
0.128000,1,0,4.172561,-7.643736,23.136629,0.002903
0.130000,1,0,4.237372,-7.680784,21.971116,0.002572
0.132000,1,0,4.083074,-7.563647,20.963487,0.002480
0.134000,1,0,4.594011,-7.859463,19.029167,0.003181
0.136000,1,0,3.816077,-7.305969,18.997782,0.003034
0.138000,1,0,3.647336,-7.154833,17.920886,0.003616
0.140000,1,0,4.711136,-6.058675,17.110185,0.004617
0.142000,1,0,4.661398,-5.795951,16.063667,0.005382
0.144000,1,0,7.427850,-8.113112,10.496483,0.009624
0.146000,1,0,3.179571,-5.244917,15.216044,0.005786
0.148000,1,0,2.984178,-5.390236,13.349282,0.007139
0.150000,1,0,2.831989,-5.429798,12.225541,0.007992
0.152000,1,0,2.509215,-5.282549,11.492959,0.008565
0.154000,1,0,2.103858,-5.038669,10.968933,0.009000
0.156000,1,0,2.166590,-5.195094,9.456941,0.010237
0.158000,1,0,1.106754,-4.422413,10.155367,0.009715
0.160000,1,0,0.505501,-4.022288,10.054628,0.009846
0.162000,1,0,0.257329,-3.863965,9.529183,0.010329
0.164000,1,0,0.093464,-3.802592,8.150452,0.011533
0.166000,1,0,6.486110,-3.914457,6.088001,0.014137
0.168000,1,0,7.193326,-4.417924,4.366632,0.015566
0.170000,1,0,4.869420,-3.714898,5.116750,0.014774
0.172000,1,0,2.342517,-2.878894,6.167431,0.013671
0.174000,1,0,0.260447,-2.313644,6.788387,0.012991
0.176000,1,0,-1.176057,-2.123617,6.761966,0.012867
0.178000,1,0,-2.122487,-2.188695,6.312752,0.013117
0.180000,1,0,-4.213253,-1.359033,6.608146,0.012802
0.182000,1,0,-4.631732,-1.514143,6.062110,0.013205
0.184000,1,0,-3.274864,-3.121183,4.245638,0.014585
0.186000,1,0,-3.159443,-3.902110,-0.362833,0.018140
0.188000,1,0,-1.304701,-5.844169,-2.347796,0.019684
0.190000,1,0,31.144007,-4.183254,-8.070758,0.030614
