time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.008000,3.141064,3.141431,3.141132,3.141064,3.141431,3.141132
0.008000,3.140752,3.141320,3.140863,3.141064,3.141431,3.141132
0.010000,3.140387,3.141179,3.140550,3.141064,3.141431,3.141132
0.014000,3.139976,3.141008,3.140202,3.141064,3.141431,3.141132
0.014000,3.139525,3.140806,3.139824,3.141064,3.141431,3.141132
0.016000,3.139038,3.140573,3.139422,3.141064,3.141431,3.141132
0.020000,3.138520,3.140307,3.138999,3.141064,3.141431,3.141132
0.022000,3.137973,3.140010,3.138560,3.141064,3.141431,3.141132
0.022000,3.137401,3.139680,3.138106,3.141064,3.141431,3.141132
0.024000,3.136805,3.139318,3.137642,3.141064,3.141431,3.141132
0.028000,3.135552,3.138495,3.136686,3.141064,3.141431,3.141132
0.030000,3.134896,3.138034,3.136198,3.141064,3.141431,3.141132
0.032000,3.134896,3.138034,3.136198,3.141064,3.141431,3.141132
0.034000,3.134222,3.137540,3.135704,3.141064,3.141431,3.141132
0.034000,3.133531,3.137013,3.135206,3.141064,3.141431,3.141132
0.036000,3.132824,3.136452,3.134703,3.141064,3.141431,3.141132
0.040000,3.131357,3.135231,3.133686,3.141064,3.141431,3.141132
0.042000,3.130599,3.134570,3.133172,3.141064,3.141431,3.141132
0.044000,3.130599,3.134570,3.133172,3.141064,3.141431,3.141132
0.044000,3.129824,3.133876,3.132655,3.141064,3.141431,3.141132
0.046000,3.129185,3.133247,3.132132,3.141064,3.141431,3.141132
0.048000,3.128672,3.132673,3.131598,3.141064,3.141431,3.141132
0.052000,3.127977,3.131659,3.130497,3.141064,3.141431,3.141132
0.052000,3.127977,3.131659,3.130497,3.141064,3.141431,3.141132
0.056000,3.127759,3.131195,3.129944,3.141064,3.141431,3.141132
0.058000,3.127600,3.130742,3.129408,3.141064,3.141431,3.141132
0.058000,3.127496,3.130297,3.128885,3.141064,3.141431,3.141132
0.060000,3.127438,3.129855,3.128382,3.141064,3.141431,3.141132
0.064000,3.127437,3.128969,3.127440,3.141064,3.141431,3.141132
0.066000,3.127437,3.128969,3.127440,3.141064,3.141431,3.141132
0.066000,3.127482,3.128520,3.127005,3.141064,3.141431,3.141132
0.068000,3.127548,3.128065,3.126594,3.141064,3.141431,3.141132
0.072000,3.127741,3.127141,3.125847,3.141064,3.141431,3.141132
0.074000,3.127864,3.126673,3.125509,3.141064,3.141431,3.141132
0.076000,3.127864,3.126673,3.125509,3.141064,3.141431,3.141132
0.076000,3.127999,3.126202,3.125194,3.141064,3.141431,3.141132
0.078000,3.128148,3.125729,3.124900,3.141064,3.141431,3.141132
0.080000,3.128309,3.125256,3.124629,3.141064,3.141431,3.141132
0.084000,3.128667,3.124316,3.124151,3.141064,3.141431,3.141132
0.086000,3.128861,3.123851,3.123943,3.141064,3.141431,3.141132
0.088000,3.128861,3.123851,3.123943,3.141064,3.141431,3.141132
0.088000,3.129064,3.123391,3.123754,3.141064,3.141431,3.141132
0.090000,3.129274,3.122937,3.123584,3.141064,3.141431,3.141132
0.092000,3.129492,3.122492,3.123434,3.141064,3.141431,3.141132
0.096000,3.129950,3.121631,3.123191,3.141064,3.141431,3.141132
0.098000,3.130188,3.121217,3.123097,3.141064,3.141431,3.141132
0.098000,3.130188,3.121217,3.123097,3.141064,3.141431,3.141132
0.100000,3.130430,3.120815,3.123021,3.141064,3.141431,3.141132
0.104000,3.130922,3.120052,3.122919,3.141064,3.141431,3.141132
0.106000,3.130922,3.120052,3.122919,3.141064,3.141431,3.141132
0.106000,3.131171,3.119692,3.122895,3.141064,3.141431,3.141132
0.108000,3.131421,3.119348,3.122887,3.141064,3.141431,3.141132
0.110000,3.131671,3.119020,3.122897,3.141064,3.141431,3.141132
0.112000,3.131920,3.118708,3.122926,3.141064,3.141431,3.141132
0.116000,3.132168,3.118413,3.122972,3.141064,3.141431,3.141132
0.118000,3.132414,3.118136,3.123037,3.141064,3.141431,3.141132
0.118000,3.132657,3.117878,3.123119,3.141064,3.141431,3.141132
0.120000,3.132895,3.117639,3.123218,3.141064,3.141431,3.141132
0.122000,3.133129,3.117420,3.123334,3.141064,3.141431,3.141132
0.124000,3.133358,3.117220,3.123466,3.141064,3.141431,3.141132
0.128000,3.133580,3.117039,3.123615,3.141064,3.141431,3.141132
0.130000,3.133795,3.116879,3.123779,3.141064,3.141431,3.141132
0.130000,3.134003,3.116738,3.123960,3.141064,3.141431,3.141132
0.132000,3.134202,3.116617,3.124155,3.141064,3.141431,3.141132
0.134000,3.134392,3.116515,3.124366,3.141064,3.141431,3.141132
0.138000,3.134570,3.116433,3.124591,3.141064,3.141431,3.141132
0.140000,3.134738,3.116371,3.124833,3.141064,3.141431,3.141132
0.142000,3.134893,3.116328,3.125091,3.141064,3.141431,3.141132
0.142000,3.135037,3.116304,3.125362,3.141064,3.141431,3.141132
0.144000,3.135170,3.116299,3.125645,3.141064,3.141431,3.141132
0.148000,3.135290,3.116313,3.125944,3.141064,3.141431,3.141132
0.150000,3.135487,3.116392,3.126587,3.141064,3.141431,3.141132
0.152000,3.135487,3.116392,3.126587,3.141064,3.141431,3.141132
0.152000,3.135565,3.116457,3.126931,3.141064,3.141431,3.141132
0.154000,3.135630,3.116539,3.127286,3.141064,3.141431,3.141132
0.156000,3.135681,3.116638,3.127652,3.141064,3.141431,3.141132
0.158000,3.135718,3.116753,3.128031,3.141064,3.141431,3.141132
0.162000,3.135739,3.116883,3.128424,3.141064,3.141431,3.141132
0.162000,3.135744,3.117029,3.128834,3.141064,3.141431,3.141132
0.164000,3.135734,3.117190,3.129261,3.141064,3.141431,3.141132
0.166000,3.135708,3.117366,3.129706,3.141064,3.141431,3.141132
0.168000,3.135667,3.117557,3.130168,3.141064,3.141431,3.141132
0.172000,3.135539,3.117983,3.131137,3.141064,3.141431,3.141132
0.174000,3.135539,3.117983,3.131137,3.141064,3.141431,3.141132
0.174000,3.135452,3.118218,3.131644,3.141064,3.141431,3.141132
0.176000,3.135353,3.118467,3.132159,3.141064,3.141431,3.141132
0.178000,3.135239,3.118728,3.132686,3.141064,3.141431,3.141132
0.180000,3.135110,3.119003,3.133224,3.141064,3.141431,3.141132
0.184000,3.134807,3.119589,3.134333,3.141064,3.141431,3.141132
0.186000,3.134807,3.119589,3.134333,3.141064,3.141431,3.141132
0.188000,3.134633,3.119899,3.134902,3.141064,3.141431,3.141132
0.188000,3.134443,3.120218,3.135491,3.141064,3.141431,3.141132
0.190000,3.134236,3.120547,3.136104,3.141064,3.141431,3.141132
