time,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.008000,1.232910,-3.212744,-0.466835,17.618135,-4.635856,-22.358895
0.010000,1.232512,-3.209380,-0.468830,18.746438,-5.068770,-23.428379
0.012000,1.484063,-4.100543,-0.585806,18.720194,-5.059341,-23.459666
0.014000,1.924662,-5.409007,-0.768991,21.127779,-6.036153,-25.943262
0.016000,0.434057,17.954691,1.322534,22.187180,-6.495029,-27.117542
0.018000,0.756112,17.502903,1.245696,23.467583,-7.057082,-28.511978
0.020000,0.974816,17.211638,1.198930,24.642777,-7.592710,-29.847800
0.022000,1.099471,17.106678,1.183685,25.675988,-8.081468,-31.086673
0.024000,1.183478,17.432221,1.213812,25.675988,-8.081468,-31.086673
0.026000,1.505090,16.769451,1.113160,28.031993,-9.218595,-33.898790
0.028000,1.805220,16.480672,1.048103,29.407005,-9.895519,-35.523935
0.030000,2.002301,16.359558,1.016310,30.619183,-10.509843,-37.025230
0.032000,2.210184,16.254253,0.983019,31.841692,-11.139063,-38.559377
0.034000,2.292298,16.330849,0.991058,32.853306,-11.673027,-39.915114
0.036000,2.474818,16.221267,0.963643,34.087771,-12.323874,-41.502073
0.038000,2.794395,15.907724,0.889615,35.584311,-13.117155,-43.362786
0.040000,2.990996,15.813935,0.854786,36.858957,-13.806181,-45.032157
0.042000,2.272568,11.522632,0.988002,36.463930,-11.417954,-42.456711
0.044000,1.496261,7.410643,1.136247,35.786871,-8.874544,-39.489505
0.046000,0.886164,4.305599,1.243724,35.095639,-7.166102,-37.581282
0.048000,0.199219,1.442741,1.378388,34.111745,-5.363597,-35.359593
0.050000,-0.420561,0.099071,1.491710,32.825838,-4.423019,-33.971792
0.052000,-0.969567,-0.095328,1.589138,31.320717,-4.154801,-33.229302
0.054000,-1.260418,1.225250,1.616036,29.760707,-4.872227,-33.507158
0.056000,-1.339706,2.534028,1.588703,28.376643,-5.719136,-33.944959
0.058000,-1.399066,3.840972,1.550989,26.941477,-6.648895,-34.453206
0.060000,-1.120563,3.961352,1.437182,26.121387,-7.036276,-34.489778
0.062000,-0.694866,3.464410,1.290175,25.586830,-7.136317,-34.261067
0.064000,-0.265350,2.833091,1.150933,25.519481,-7.120108,-34.242536
0.066000,0.062017,2.424871,1.040237,24.514897,-7.300613,-33.734653
0.068000,0.307609,2.125285,0.959864,23.791628,-7.540462,-33.587411
0.070000,0.565890,1.943668,0.894397,23.058066,-7.827287,-33.490111
0.070000,0.565890,1.943668,0.894397,23.058066,-7.827287,-33.490111
0.074000,0.983518,1.596889,0.776780,21.594844,-8.466946,-33.354888
0.076000,1.152779,1.304891,0.739276,21.594844,-8.466946,-33.354888
0.078000,1.376175,1.206501,0.655170,20.188358,-9.132173,-33.242868
0.080000,1.525333,1.100842,0.603306,19.453386,-9.517900,-33.230252
0.082000,1.689172,0.899691,0.549005,18.817628,-9.841331,-33.167909
0.084000,1.854921,0.658548,0.492769,18.775726,-9.822296,-33.138780
0.086000,2.003603,0.419388,0.439429,17.660750,-10.430523,-32.991477
0.088000,2.117269,0.279289,0.394094,17.046665,-10.770295,-32.937583
0.090000,2.093040,0.186395,0.369742,16.505585,-11.068826,-32.851921
0.092000,2.188725,0.002091,0.324932,16.474420,-11.047935,-32.821433
0.094000,2.299704,-0.205772,0.277220,15.551062,-11.597964,-32.621140
0.096000,2.380981,-0.344783,0.234694,15.073504,-11.882745,-32.519192
0.098000,2.557351,-0.634132,0.176370,14.703519,-12.064018,-32.364787
0.100000,2.522692,-0.670735,0.153652,14.272354,-12.337458,-32.219963
0.102000,2.668940,-0.971616,0.095091,13.951767,-12.493932,-32.049993
0.104000,2.607371,-0.971092,0.080148,13.556716,-12.733385,-31.864031
0.106000,2.684785,-1.177100,0.042807,13.247398,-12.889780,-31.702765
0.108000,2.597647,-1.127932,0.035765,12.885623,-13.097073,-31.480017
0.110000,2.649107,-1.327798,-0.001038,12.642807,-13.213882,-31.295411
